Override Genre
Travel & Architecture ▾
Portfolio Category
auto ▾
If you choose a different genre than the model assigned, PhotoCat automatically marks the original decision as wrong and keeps your override active.

This item still needs a portfolio mapping decision. Without an override it will stay excluded from the portfolio export.

[Device] Windows AMD64 | PyTorch 2.5.1+cu124
[Device] GPU: NVIDIA GeForce RTX 3060 Ti | VRAM: 8191 MB total, ~8191 MB free
[Device] Compute: CUDA
Input: F:\Disco2 PORTFOLIO\WebSIte\lr
Cache: F:\Disco2 PORTFOLIO\WebSIte\lr\.photocat_cache
Found 274 image(s). write-xmp=False, workers=1
[146/274] [cache] test2024-146.jpg: Genre=Branding & Portrait (conf=0.95, status=auto, 3ms)
[147/274] [cache] test2024-147.jpg: Genre=Travel & Architecture (conf=0.71, status=review, 3ms)
[148/274] [cache] test2024-148.jpg: Genre=Street Documentary (conf=0.93, status=auto, 3ms)
[149/274] [cache] test2024-149.jpg: Genre=Street Documentary (conf=0.90, status=auto, 3ms)
[150/274] [cache] test2024-150.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[151/274] [cache] test2024-151.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[152/274] [cache] test2024-152.jpg: Genre=Nature & Landscape (conf=0.55, status=review, 3ms)
[153/274] [cache] test2024-153.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 3ms)
[154/274] [cache] test2024-154.jpg: Genre=Travel & Architecture (conf=0.64, status=review, 3ms)
[155/274] [cache] test2024-155.jpg: Genre=Street Documentary (conf=0.89, status=auto, 3ms)
[156/274] [cache] test2024-156.jpg: Genre=Street Documentary (conf=0.95, status=review, 4ms)
[157/274] [cache] test2024-157.jpg: Genre=Travel & Architecture (conf=0.95, status=auto, 5ms)
[158/274] [cache] test2024-158.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[159/274] [cache] test2024-159.jpg: Genre=Food & Product (conf=0.50, status=review, 3ms)
[160/274] [cache] test2024-160.jpg: Genre=Events & Music (conf=0.95, status=auto, 3ms)
[161/274] [cache] test2024-161.jpg: Genre=Events & Music (conf=0.93, status=auto, 3ms)
[162/274] [cache] test2024-162.jpg: Genre=Events & Music (conf=0.44, status=review, 3ms)
[163/274] [cache] test2024-163.jpg: Genre=Events & Music (conf=0.88, status=auto, 3ms)
[164/274] [cache] test2024-164.jpg: Genre=Travel & Architecture (conf=0.43, status=review, 3ms)
[165/274] [cache] test2024-165.jpg: Genre=Events & Music (conf=0.94, status=auto, 3ms)
[166/274] [cache] test2024-166.jpg: Genre=Events & Music (conf=0.95, status=auto, 3ms)
[167/274] [cache] test2024-167.jpg: Genre=Events & Music (conf=0.95, status=auto, 3ms)
[168/274] [cache] test2024-168.jpg: Genre=Branding & Portrait (conf=0.79, status=review, 3ms)
[169/274] [cache] test2024-169.jpg: Genre=Events & Music (conf=0.95, status=auto, 3ms)
[170/274] [cache] test2024-170.jpg: Genre=Events & Music (conf=0.51, status=review, 3ms)
[171/274] [cache] test2024-171.jpg: Genre=Events & Music (conf=0.95, status=auto, 3ms)
[172/274] [cache] test2024-172.jpg: Genre=Events & Music (conf=0.95, status=auto, 3ms)
[173/274] [cache] test2024-173.jpg: Genre=Events & Music (conf=0.95, status=auto, 3ms)
[174/274] [cache] test2024-174.jpg: Genre=Branding & Portrait (conf=0.94, status=auto, 3ms)
[175/274] [cache] test2024-175.jpg: Genre=Branding & Portrait (conf=0.55, status=review, 3ms)
[176/274] [cache] test2024-176.jpg: Genre=Street Documentary (conf=0.95, status=auto, 4ms)
[177/274] [cache] test2024-177.jpg: Genre=Street Documentary (conf=0.55, status=review, 3ms)
[178/274] [cache] test2024-178.jpg: Genre=Street Documentary (conf=0.77, status=review, 4ms)
[179/274] [cache] test2024-179.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[180/274] [cache] test2024-180.jpg: Genre=Food & Product (conf=0.95, status=auto, 4ms)
[181/274] [cache] test2024-181.jpg: Genre=Food & Product (conf=0.95, status=auto, 4ms)
[182/274] [cache] test2024-182.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[183/274] [cache] test2024-183.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[184/274] [cache] test2024-184.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[185/274] [cache] test2024-185.jpg: Genre=Street Documentary (conf=0.95, status=review, 3ms)
[186/274] [cache] test2024-186.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[187/274] [cache] test2024-187.jpg: Genre=Food & Product (conf=0.50, status=review, 3ms)
[188/274] [cache] test2024-188.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
[189/274] [cache] test2024-189.jpg: Genre=Nature & Landscape (conf=0.95, status=auto, 3ms)
[190/274] [cache] test2024-190.jpg: Genre=Food & Product (conf=0.95, status=auto, 4ms)
[191/274] [cache] test2024-191.jpg: Genre=Food & Product (conf=0.95, status=auto, 3ms)
